factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr
BTC_LONG_21bbccc16a8e257f_1d,163088,1d,5.0,95,3,-48.08065862712652,0.004620599470304553,126,94.14090389300452,0.5166273335699332,1.3677812315248667,-0.3645088153180913,1.417324662283118,55.579446283316614,-0.007129052405460813,503,145.81011904761905,0.231087983093905,0.7634214478789088,-0.2666867733455607,0.8665146013614692,23.38986077963277,1.5488497881148346,0.231087983093905
BTC_LONG_aaf7367a70949a76_1d,828557,1d,5.0,95,4,141.5748959179343,0.05542416584828849,32,23.90880098869956,0.5595708841070421,1.768502048043175,-0.0927053602237432,6.036014344332679,205.55634645770198,0.0010743203730487953,96,27.82857142857143,0.04117063823513778,0.29300877575739653,-0.4149153460437839,0.09922659797401963,28.957367487945444,1.1639467592592594,0.04117063823513778
BTC_LONG_4cbb6f9418007a9b_1d,371130,1d,5.0,97,4,72.3907694798905,0.10307232842264244,40,29.886001235874453,0.44561063708859794,1.5655613921938094,-0.11314401166687693,3.9384376647398924,139.0883586995427,0.0508046844242142,73,21.161309523809525,0.25726329708218154,1.2739754981436464,-0.1758933397588449,1.4626096555725037,121.88587114777039,0.708067611882716,0.25726329708218154
BTC_LONG_4422cd310e1a1223_1d,329491,1d,5.0,99,3,-31.71484893134307,0.058479350938948314,31,23.1616509578027,0.6146908572682066,1.8224738124524549,-0.11514406185448545,5.33845034965875,228.9888882149686,0.012713355310545415,110,31.886904761904763,0.041336474154543,0.3028721796584835,-0.2712897786430274,0.15237018645267497,23.81595022232492,1.3767112206292316,0.041336474154543
BTC_LONG_08388dc6560039e1_1d,39777,1d,5.0,99,3,-42.0912988503079,0.05522388923319448,32,23.90880098869956,0.3635472861985569,1.5842955352007202,-0.07961039583939744,4.56658056231703,143.41985182944995,-0.0016107396217622792,131,37.97440476190476,-0.05535526563389981,-0.245694430851092,-0.25746957707411244,-0.2149973067224398,-6.086814951713346,1.5883023485725307,-0.05535526563389981
BTC_LONG_9ea03f20740d3b66_1d,768362,1d,5.0,97,4,5.946303519156075,0.06630763555963971,78,58.27770240995518,0.535616604170092,1.465242628240521,-0.19708983706583783,2.7176267033554318,87.82693187375924,-0.021294456448827007,261,75.65892857142858,-0.1096769459822694,-0.22883123405129355,-0.6236663906181952,-0.1758583557365575,-4.197170387288445,1.2982483084045584,-0.1096769459822694
BTC_LONG_1c0ba68158fdf953_1d,135519,1d,5.0,95,4,17.568902437061247,0.031149470194858853,101,75.462153120583,0.42920327129265345,1.3779731711981809,-0.22650012495221938,1.894936134729262,57.8511891975608,0.04483954489417493,324,93.92142857142856,-0.02324337166151258,0.05330923300548532,-0.4793145238500195,-0.04849294253554807,6.583733097545095,1.2446163366336631,-0.02324337166151258
BTC_LONG_77cbefbe1d778166_1d,580268,1d,5.0,99,4,111.79966756373912,0.07734072613777972,15,11.20725046345292,0.3271473053063496,1.323402823195188,-0.10592500404024674,3.08848046096886,279.854720245751,0.031677575220227724,114,33.04642857142857,-0.07480013318240031,-0.47234943127978674,-0.26116340091450885,-0.2864112387894885,-15.453835916242628,2.9486651234567898,-0.07480013318240031
BTC_LONG_602ab8f4e1838d89_1d,465424,1d,5.0,97,4,35.03726895952579,0.09657839294205507,71,53.04765219367715,0.7822116637369221,1.7291435875288013,-0.17448651334761645,4.48293480527392,126.14619361402616,-0.026730459053243692,346,100.29880952380952,-0.11937699344686814,-0.2677674055826906,-0.6101371562884855,-0.1956559967156372,-3.072058242069681,1.8907304164493133,-0.11937699344686814
BTC_LONG_19ec377e06899c5b_1d,125346,1d,5.0,99,4,14.597613353363458,0.12408135968258414,20,14.943000617937226,0.2869384475609209,1.4811167223994246,-0.06521364107784466,4.399975876495016,184.2601315597724,-0.022221590522728877,89,25.79940476190476,0.09106146873483723,0.6753908495871764,-0.31029011726150735,0.2934720239835809,42.77780853417822,1.7265210262345678,0.09106146873483723
BTC_LONG_56b36a5dd589fb04_1d,419467,1d,5.0,97,4,26.791674053668057,0.05822180137150641,74,55.289102286367736,0.8390305744729614,2.106537684529894,-0.1966161903315159,4.267352414154024,123.74072768774546,-0.026484091957647407,275,79.7172619047619,-0.10375592542899259,-0.2625317850636247,-0.4972922035827463,-0.20864176973111997,-4.035636724607659,1.4418259405238572,-0.10375592542899259
BTC_LONG_72f7803a76a0aefd_1d,556511,1d,5.0,97,3,-31.11771216255978,0.07502288812574316,71,53.04765219367715,0.1763771961941567,0.6373093296643662,-0.2764242897952093,0.6380669235862988,47.64684796766669,0.00636683916655432,254,73.6297619047619,-0.09585340633263972,-0.2358678268054848,-0.4582243053152877,-0.2091844653824865,-3.6812926189313764,1.387992849069727,-0.09585340633263972
BTC_LONG_547ecacae70e9a39_1d,408701,1d,5.0,97,4,14.011851153206688,0.05645050301318188,96,71.72640296609869,0.49280684112537054,1.5771102686844398,-0.2258725759226019,2.1817913888503093,66.1937444932026,0.01307672367455753,449,130.15654761904761,0.1423964629594341,0.5726782575957118,-0.5974990121659536,0.23832083411023933,19.106592399006622,1.8146253295396089,0.1423964629594341
BTC_LONG_cbc274616bb282a3_1d,987460,1d,5.0,95,4,16.78546274214979,0.0927811136736983,85,63.50775262623321,1.3903410723472032,2.283476412848437,-0.18023013508518004,7.714254176695271,155.63527576196597,-0.0055362655531697395,309,89.57321428571429,0.07196675927878982,0.39098546759143665,-0.4095495268807293,0.17572174927636594,16.816711449549523,1.4104296023965142,0.07196675927878982
BTC_LONG_4ae1e048fd8ff880_1d,362305,1d,5.0,99,3,-156.11539180160173,0.09696677798549032,25,18.678750772421534,0.3774269710257032,1.5696599421979645,-0.14419300714714223,2.6175123086278145,188.47450471854515,0.03158456048346975,187,54.20773809523809,0.013245197685617827,0.17308102762394836,-0.27467214921056937,0.04822184456518663,12.170770930443302,2.9021072530864194,0.013245197685617827
BTC_LONG_394cd095e09a5ac6_1d,276960,1d,5.0,95,2,-62.30577644789295,0.053447725483819285,123,91.89945380031394,0.21383754629385088,0.6957807922228377,-0.4477536928700533,0.47757852073352,33.894109999795454,-0.01187935514975654,543,157.40535714285713,-0.21939197909650376,-0.5004627370954432,-0.7095369064444699,-0.3092044643539256,-6.561763738575757,1.7127997026498043,-0.21939197909650376
